LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2024-03-18 23:30:54,1900-01-00 00:00:00,,14:96:E5:F9:07:99,-76,,0.000000,0.000000,0.000,0.000,Client
2024-03-18 23:30:54,1900-01-00 00:00:00,,E2:0B:7B:F3:E8:B2,-76,,0.000000,0.000000,0.000,0.000,Client
2024-03-18 23:30:54,1900-01-00 00:00:00,,48:D3:43:10:E7:F9,-68, ,0.000000,0.000000,0.000,0.000,AP
2024-03-18 23:30:54,1900-01-00 00:00:00,,18:35:D1:8C:AE:D9,-58, ,0.000000,0.000000,0.000,0.000,AP
2024-03-18 23:30:54,1900-01-00 00:00:00,,48:D3:43:BC:7F:89,-56, ,0.000000,0.000000,0.000,0.000,AP
2024-03-18 23:30:54,1900-01-00 00:00:00,,14:96:E5:F9:07:99,-76,,0.000000,0.000000,0.000,0.000,Client
2024-03-18 23:30:54,1900-01-00 00:00:00,VTR-5154377,48:D3:43:10:E7:F9,-68, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-18 23:30:54,1900-01-00 00:00:00,,14:96:E5:F9:07:99,-76,,0.000000,0.000000,0.000,0.000,Client
2024-03-18 23:30:54,1900-01-00 00:00:00,,48:D3:43:5D:3C:89,-78, ,0.000000,0.000000,0.000,0.000,AP
2024-03-18 23:30:54,1900-01-00 00:00:00,,14:96:E5:F9:07:99,-74,,0.000000,0.000000,0.000,0.000,Client
2024-03-18 23:30:54,1900-01-00 00:00:00,,60:FB:00:3C:09:0B,-80,,0.000000,0.000000,0.000,0.000,Client
2024-03-18 23:30:55,1900-01-00 00:00:00,,10:08:1D:35:4E:80,-80, ,0.000000,0.000000,0.000,0.000,AP
2024-03-18 23:30:55,1900-01-00 00:00:00,Monroy,10:08:1D:35:4E:80,-78, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-18 23:30:55,1900-01-00 00:00:00,Monroy,10:08:1D:35:4E:80,-76, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-03-18 23:30:55,1900-01-00 00:00:00,,E2:0B:7B:F3:E8:B2,-78,,0.000000,0.000000,0.000,0.000,Client
2024-03-18 23:30:55,1900-01-00 00:00:00,,E2:0B:7B:F3:E8:B2,-74,,0.000000,0.000000,0.000,0.000,Client
