
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
18:35:D1:8C:AE:D9, 2024-03-18 23:30:54, 2024-03-18 23:31:18,  1, 130, WPA2, CCMP, PSK, -54,        5,        1,   0.  0.  0.  0,  11, VTR-5797955, 
F8:5B:3B:E4:49:AF, 2024-03-18 23:30:54, 2024-03-18 23:31:19,  1, 130, WPA2, CCMP, PSK, -77,        3,        0,   0.  0.  0.  0,  11, Osorno 2263, 
48:D3:43:10:E7:F9, 2024-03-18 23:30:54, 2024-03-18 23:31:18,  1, 130, WPA2, CCMP, PSK, -71,       10,        5,   0.  0.  0.  0,  11, VTR-5154377, 
48:D3:43:BC:7F:89, 2024-03-18 23:30:54, 2024-03-18 23:31:18,  1, 130, WPA2, CCMP, PSK, -53,        5,        0,   0.  0.  0.  0,  11, VTR-3019414, 
48:D3:43:5D:3C:89, 2024-03-18 23:30:54, 2024-03-18 23:30:54,  1, 130, WPA2, CCMP, PSK, -77,        1,        0,   0.  0.  0.  0,  11, VTR-5891668, 
F4:69:42:99:11:9F, 2024-03-18 23:30:54, 2024-03-18 23:30:58,  7,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
10:08:1D:35:4E:80, 2024-03-18 23:30:55, 2024-03-18 23:31:13, 13, 360, WPA2, CCMP, PSK, -76,        7,        0,   0.  0.  0.  0,   6, Monroy, 
E4:57:40:FF:0B:E1, 2024-03-18 23:30:59, 2024-03-18 23:31:20, 11, 130, WPA2, CCMP, PSK, -37,       10,        1,   0.  0.  0.  0,  11, VTR-3584038, 
60:32:B1:EE:FA:38, 2024-03-18 23:30:59, 2024-03-18 23:31:17, 11, 270, WPA2, CCMP, PSK, -75,        1,        0,   0.  0.  0.  0,   8, Gabriel , 
CC:D4:A1:6D:D7:98, 2024-03-18 23:30:59, 2024-03-18 23:31:17, 11, 130, WPA2, CCMP, PSK, -75,        4,        2,   0.  0.  0.  0,   9, Estefanie, 
8C:5A:25:2E:7D:6A, 2024-03-18 23:30:59, 2024-03-18 23:31:17,  6,  -1, WPA, ,   , -75,        0,        3,   0.  0.  0.  0,   0, , 
CC:ED:DC:5F:2B:19, 2024-03-18 23:30:59, 2024-03-18 23:31:17,  6, 130, WPA2, CCMP, PSK, -72,       10,        0,   0.  0.  0.  0,   7, Elbarty, 
D0:B6:6F:5E:8D:C8, 2024-03-18 23:30:59, 2024-03-18 23:31:17,  6, 130, WPA2, CCMP, PSK, -81,        8,        2,   0.  0.  0.  0,   8, Trinidad, 
40:0D:10:CE:82:B9, 2024-03-18 23:30:59, 2024-03-18 23:31:17,  6, 130, WPA2, CCMP, PSK, -75,        4,        0,   0.  0.  0.  0,   9, FRIDAKALO, 
FE:12:63:CB:C4:EF, 2024-03-18 23:31:00, 2024-03-18 23:31:00,  1,  -1, WPA, ,   ,  -1,        0,        4,   0.  0.  0.  0,   0, , 
48:D3:43:3C:90:11, 2024-03-18 23:31:05, 2024-03-18 23:31:05,  6, 130, WPA2, CCMP, PSK, -74,        0,        0,   0.  0.  0.  0,  11, VTR-7759815, 
B8:5E:71:A3:E9:81, 2024-03-18 23:31:12, 2024-03-18 23:31:12,  1,  -1, WPA, ,   , -76,        0,        2,   0.  0.  0.  0,   0, , 

